mt5_date,prev_bar_mt5,next_bar_mt5,gap_seconds,missing_m5_bar_estimate
2018.05.07,2018.05.07 23:10:00,2018.05.07 23:30:00,1200,3
2018.05.08,2018.05.08 23:10:00,2018.05.08 23:30:00,1200,3
2018.05.09,2018.05.09 23:10:00,2018.05.09 23:30:00,1200,3
2018.05.10,2018.05.10 16:20:00,2018.05.10 16:55:00,2100,6
2018.05.10,2018.05.10 17:00:00,2018.05.10 17:10:00,600,1
2018.05.10,2018.05.10 23:10:00,2018.05.10 23:30:00,1200,3
2018.05.14,2018.05.14 23:10:00,2018.05.14 23:30:00,1200,3
2018.05.15,2018.05.15 23:10:00,2018.05.15 23:30:00,1200,3
2018.05.16,2018.05.16 23:10:00,2018.05.16 23:30:00,1200,3
2018.05.17,2018.05.17 23:10:00,2018.05.17 23:30:00,1200,3
2018.05.21,2018.05.21 23:10:00,2018.05.21 23:30:00,1200,3
2018.05.22,2018.05.22 23:10:00,2018.05.22 23:30:00,1200,3
2018.05.23,2018.05.23 23:10:00,2018.05.23 23:30:00,1200,3
2018.05.24,2018.05.24 23:10:00,2018.05.24 23:30:00,1200,3
2018.05.29,2018.05.29 23:10:00,2018.05.29 23:30:00,1200,3
2018.05.30,2018.05.30 23:10:00,2018.05.30 23:30:00,1200,3
2018.05.31,2018.05.31 23:10:00,2018.05.31 23:30:00,1200,3
2018.06.04,2018.06.04 23:10:00,2018.06.04 23:30:00,1200,3
2018.06.05,2018.06.05 23:10:00,2018.06.05 23:30:00,1200,3
2018.06.06,2018.06.06 23:10:00,2018.06.06 23:30:00,1200,3
2018.06.07,2018.06.07 22:20:00,2018.06.07 22:30:00,600,1
2018.06.07,2018.06.07 23:10:00,2018.06.07 23:30:00,1200,3
2018.06.11,2018.06.11 23:10:00,2018.06.11 23:30:00,1200,3
2018.06.12,2018.06.12 23:10:00,2018.06.12 23:30:00,1200,3
2018.06.13,2018.06.13 23:10:00,2018.06.13 23:30:00,1200,3
2018.06.14,2018.06.14 23:10:00,2018.06.14 23:30:00,1200,3
2018.06.18,2018.06.18 23:10:00,2018.06.18 23:30:00,1200,3
2018.06.19,2018.06.19 23:10:00,2018.06.19 23:30:00,1200,3
2018.06.20,2018.06.20 23:10:00,2018.06.20 23:30:00,1200,3
2018.06.21,2018.06.21 23:10:00,2018.06.21 23:30:00,1200,3
2018.06.25,2018.06.25 23:10:00,2018.06.25 23:30:00,1200,3
2018.06.26,2018.06.26 23:10:00,2018.06.26 23:30:00,1200,3
2018.06.27,2018.06.27 23:10:00,2018.06.27 23:30:00,1200,3
2018.06.28,2018.06.28 23:10:00,2018.06.28 23:30:00,1200,3
2018.07.02,2018.07.02 23:10:00,2018.07.02 23:30:00,1200,3
2018.07.05,2018.07.05 23:10:00,2018.07.05 23:30:00,1200,3
2018.07.09,2018.07.09 23:10:00,2018.07.09 23:30:00,1200,3
2018.07.10,2018.07.10 23:10:00,2018.07.10 23:30:00,1200,3
2018.07.11,2018.07.11 23:10:00,2018.07.11 23:30:00,1200,3
2018.07.12,2018.07.12 23:10:00,2018.07.12 23:30:00,1200,3
2018.07.16,2018.07.16 23:10:00,2018.07.16 23:30:00,1200,3
2018.07.17,2018.07.17 23:10:00,2018.07.17 23:30:00,1200,3
2018.07.18,2018.07.18 23:10:00,2018.07.18 23:30:00,1200,3
2018.07.19,2018.07.19 23:10:00,2018.07.19 23:30:00,1200,3
2018.07.23,2018.07.23 23:10:00,2018.07.23 23:30:00,1200,3
2018.07.24,2018.07.24 23:10:00,2018.07.24 23:30:00,1200,3
2018.07.25,2018.07.25 04:15:00,2018.07.25 04:25:00,600,1
2018.07.25,2018.07.25 23:10:00,2018.07.25 23:30:00,1200,3
2018.07.26,2018.07.26 23:10:00,2018.07.26 23:30:00,1200,3
2018.07.30,2018.07.30 23:10:00,2018.07.30 23:30:00,1200,3
2018.07.31,2018.07.31 23:10:00,2018.07.31 23:30:00,1200,3
2018.08.01,2018.08.01 23:10:00,2018.08.01 23:30:00,1200,3
2018.08.02,2018.08.02 23:10:00,2018.08.02 23:30:00,1200,3
2018.08.06,2018.08.06 23:10:00,2018.08.06 23:30:00,1200,3
2018.08.07,2018.08.07 23:10:00,2018.08.07 23:30:00,1200,3
2018.08.08,2018.08.08 23:10:00,2018.08.08 23:30:00,1200,3
2018.08.09,2018.08.09 23:10:00,2018.08.09 23:30:00,1200,3
2018.08.13,2018.08.13 23:10:00,2018.08.13 23:30:00,1200,3
2018.08.14,2018.08.14 23:10:00,2018.08.14 23:30:00,1200,3
