run_id,wave_id,campaign_id,idea_id,hypothesis_id,surface_id,sweep_id,status,created_at_utc,primary_family,primary_skill,manifest_path,receipt_path,lineage_path,metrics_path,claim_boundary,result_judgment,required_gates,evidence_path,next_action,notes
onnxlab_20260621T092135Z_control_plane_dryrun,,,idea_control_plane_v0,hyp_control_plane_v0,surface_codex_operating_control_v0,sweep_not_applicable_control_plane,completed_for_planning_scaffold,2026-06-21T09:21:35Z,policy_skill_governance,spacesonar-work-item-router,lab/runs/onnxlab_20260621T092135Z_control_plane_dryrun/run_manifest.json,lab/runs/onnxlab_20260621T092135Z_control_plane_dryrun/experiment_receipt.yaml,lab/runs/onnxlab_20260621T092135Z_control_plane_dryrun/artifact_lineage.json,lab/runs/onnxlab_20260621T092135Z_control_plane_dryrun/metrics.json,planning_scaffold,positive,skill_metadata_lint|storage_contract_check|dry_run_receipt|encoding_check|json_yaml_csv_syntax_check|drift_scan|final_claim_guard,lab/runs/onnxlab_20260621T092135Z_control_plane_dryrun/,ready_for_actual_onnx_development_entry,dry-run only; no model/runtime/economics/handoff/live claim
onnxlab_20260621T115145Z_minimal_onnx_mt5_plumbing,,campaign_minimal_onnx_mt5_vertical_slice_v0,idea_a_to_z_validation_spine_v0,hyp_minimal_onnx_mt5_plumbing_v0,surface_fixture_next_m5_probability_v0,sweep_not_applicable_fixture_plumbing,fixed_fixture_parity_observed_with_boundary_debt,2026-06-21T11:51:45.383682Z,onnx_export_parity,spacesonar-runtime-parity,lab/runs/onnxlab_20260621T115145Z_minimal_onnx_mt5_plumbing/run_manifest.json,lab/runs/onnxlab_20260621T115145Z_minimal_onnx_mt5_plumbing/experiment_receipt.yaml,lab/runs/onnxlab_20260621T115145Z_minimal_onnx_mt5_plumbing/artifact_lineage.json,lab/runs/onnxlab_20260621T115145Z_minimal_onnx_mt5_plumbing/metrics.json,fixed_fixture_parity_learning_only_with_boundary_debt,inconclusive,branch_worktree_fit|bundle_integrity_hash|feature_schema_contract|final_claim_guard|mt5_native_onnx_fixed_fixture_probe|onnx_export_smoke|provenance_capture|python_onnx_parity|runtime_learning_probe_decision|time_axis_check|missing:split_boundary_purge_check|missing:handle_release_log|missing:compile_terminal_exit_code_provenance|missing:clean_commit_superseding_rerun,lab/runs/onnxlab_20260621T115145Z_minimal_onnx_mt5_plumbing/,harden_evidence_spine_and_supersede_with_clean_fixture_rerun,"fixed fixture observation retained; no performance, candidate, baseline, economics, live, handoff, reviewed, pass, or runtime-authority claim; boundary debt acknowledged"
onnxlab_20260621T131542Z_minimal_onnx_mt5_plumbing,,campaign_minimal_onnx_mt5_vertical_slice_v0,idea_a_to_z_validation_spine_v0,hyp_minimal_onnx_mt5_plumbing_v0,surface_fixture_next_m5_probability_v0,sweep_not_applicable_fixture_plumbing,mt5_native_onnx_fixed_fixture_probe_matched,2026-06-21T13:15:42.793895Z,onnx_export_parity,spacesonar-runtime-parity,lab/runs/onnxlab_20260621T131542Z_minimal_onnx_mt5_plumbing/run_manifest.json,lab/runs/onnxlab_20260621T131542Z_minimal_onnx_mt5_plumbing/experiment_receipt.yaml,lab/runs/onnxlab_20260621T131542Z_minimal_onnx_mt5_plumbing/artifact_lineage.json,lab/runs/onnxlab_20260621T131542Z_minimal_onnx_mt5_plumbing/metrics.json,fixed_fixture_parity_learning_only_no_runtime_authority,preserved_clue,branch_worktree_fit|provenance_capture|time_axis_check|feature_label_boundary_check|feature_schema_contract|onnx_export_smoke|python_onnx_parity|bundle_integrity_hash|runtime_learning_probe_decision|final_claim_guard|mt5_native_onnx_fixed_fixture_probe|handle_release_log|not_applicable:strategy_tester_economics,lab/runs/onnxlab_20260621T131542Z_minimal_onnx_mt5_plumbing/,none_for_fixed_fixture_micro_probe_no_runtime_authority_or_economics,preserved fixed-fixture parity clue; no protected claim
onnxlab_wave0_cell_001_surface_scout_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,idea_us100_m5_blank_slate_surface_map_v0,hyp_surface_diversity_before_model_search_v0,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,executed_proxy_scout,2026-06-21T15:54:35Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave0_cell_001_surface_scout_v0/run_manifest.json,lab/runs/onnxlab_wave0_cell_001_surface_scout_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave0_cell_001_surface_scout_v0/artifact_lineage.json,lab/runs/onnxlab_wave0_cell_001_surface_scout_v0/metrics.json,first_batch_proxy_scout_l4_required_no_candidate_no_baseline_no_runtime_authority,inconclusive,branch_worktree_fit|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|final_claim_guard|not_applicable:locked_final_oos_access|missing:onnx_export_or_runtime_materialization_required|missing:L4_split_runtime_probe_for_valid_proxy_run,lab/campaigns/campaign_us100_task_surface_scout_v0/sweeps/sweep_wave0_broad_surface_scout_v0/axis_review_wave0_first_batch_v0.yaml,work_wave0_first_batch_l4_follow_through_v0,proxy_to_l4_policy_clarified_all_valid_proxy_runs_require_l4
onnxlab_wave0_cell_002_surface_scout_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,idea_us100_m5_blank_slate_surface_map_v0,hyp_surface_diversity_before_model_search_v0,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,executed_proxy_scout,2026-06-21T15:54:35Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave0_cell_002_surface_scout_v0/run_manifest.json,lab/runs/onnxlab_wave0_cell_002_surface_scout_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave0_cell_002_surface_scout_v0/artifact_lineage.json,lab/runs/onnxlab_wave0_cell_002_surface_scout_v0/metrics.json,first_batch_proxy_scout_l4_required_no_candidate_no_baseline_no_runtime_authority,inconclusive,branch_worktree_fit|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|final_claim_guard|not_applicable:locked_final_oos_access|missing:onnx_export_or_runtime_materialization_required|missing:L4_split_runtime_probe_for_valid_proxy_run,lab/campaigns/campaign_us100_task_surface_scout_v0/sweeps/sweep_wave0_broad_surface_scout_v0/axis_review_wave0_first_batch_v0.yaml,work_wave0_first_batch_l4_follow_through_v0,proxy_to_l4_policy_clarified_all_valid_proxy_runs_require_l4
onnxlab_wave0_cell_003_surface_scout_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,idea_us100_m5_blank_slate_surface_map_v0,hyp_surface_diversity_before_model_search_v0,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,executed_proxy_scout,2026-06-21T15:54:35Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave0_cell_003_surface_scout_v0/run_manifest.json,lab/runs/onnxlab_wave0_cell_003_surface_scout_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave0_cell_003_surface_scout_v0/artifact_lineage.json,lab/runs/onnxlab_wave0_cell_003_surface_scout_v0/metrics.json,first_batch_proxy_scout_l4_required_no_candidate_no_baseline_no_runtime_authority,inconclusive,branch_worktree_fit|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|final_claim_guard|not_applicable:locked_final_oos_access|missing:onnx_export_or_runtime_materialization_required|missing:L4_split_runtime_probe_for_valid_proxy_run,lab/campaigns/campaign_us100_task_surface_scout_v0/sweeps/sweep_wave0_broad_surface_scout_v0/axis_review_wave0_first_batch_v0.yaml,work_wave0_first_batch_l4_follow_through_v0,proxy_to_l4_policy_clarified_all_valid_proxy_runs_require_l4
onnxlab_wave0_cell_004_surface_scout_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,idea_us100_m5_blank_slate_surface_map_v0,hyp_surface_diversity_before_model_search_v0,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,executed_proxy_scout,2026-06-21T15:54:35Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave0_cell_004_surface_scout_v0/run_manifest.json,lab/runs/onnxlab_wave0_cell_004_surface_scout_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave0_cell_004_surface_scout_v0/artifact_lineage.json,lab/runs/onnxlab_wave0_cell_004_surface_scout_v0/metrics.json,first_batch_proxy_scout_l4_required_no_candidate_no_baseline_no_runtime_authority,inconclusive,branch_worktree_fit|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|final_claim_guard|not_applicable:locked_final_oos_access|missing:onnx_export_or_runtime_materialization_required|missing:L4_split_runtime_probe_for_valid_proxy_run,lab/campaigns/campaign_us100_task_surface_scout_v0/sweeps/sweep_wave0_broad_surface_scout_v0/axis_review_wave0_first_batch_v0.yaml,work_wave0_first_batch_l4_follow_through_v0,proxy_to_l4_policy_clarified_all_valid_proxy_runs_require_l4
onnxlab_wave0_cell_005_surface_scout_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,idea_us100_m5_blank_slate_surface_map_v0,hyp_surface_diversity_before_model_search_v0,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,executed_proxy_scout,2026-06-21T15:54:35Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave0_cell_005_surface_scout_v0/run_manifest.json,lab/runs/onnxlab_wave0_cell_005_surface_scout_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave0_cell_005_surface_scout_v0/artifact_lineage.json,lab/runs/onnxlab_wave0_cell_005_surface_scout_v0/metrics.json,first_batch_proxy_scout_l4_required_no_candidate_no_baseline_no_runtime_authority,inconclusive,branch_worktree_fit|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|final_claim_guard|not_applicable:locked_final_oos_access|missing:onnx_export_or_runtime_materialization_required|missing:L4_split_runtime_probe_for_valid_proxy_run,lab/campaigns/campaign_us100_task_surface_scout_v0/sweeps/sweep_wave0_broad_surface_scout_v0/axis_review_wave0_first_batch_v0.yaml,work_wave0_first_batch_l4_follow_through_v0,proxy_to_l4_policy_clarified_all_valid_proxy_runs_require_l4
onnxlab_wave0_cell_006_surface_scout_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,idea_us100_m5_blank_slate_surface_map_v0,hyp_surface_diversity_before_model_search_v0,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,executed_proxy_scout,2026-06-21T15:54:35Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave0_cell_006_surface_scout_v0/run_manifest.json,lab/runs/onnxlab_wave0_cell_006_surface_scout_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave0_cell_006_surface_scout_v0/artifact_lineage.json,lab/runs/onnxlab_wave0_cell_006_surface_scout_v0/metrics.json,first_batch_proxy_scout_l4_required_no_candidate_no_baseline_no_runtime_authority,inconclusive,branch_worktree_fit|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|final_claim_guard|not_applicable:locked_final_oos_access|missing:onnx_export_or_runtime_materialization_required|missing:L4_split_runtime_probe_for_valid_proxy_run,lab/campaigns/campaign_us100_task_surface_scout_v0/sweeps/sweep_wave0_broad_surface_scout_v0/axis_review_wave0_first_batch_v0.yaml,work_wave0_first_batch_l4_follow_through_v0,proxy_to_l4_policy_clarified_all_valid_proxy_runs_require_l4
onnxlab_wave0_cell_007_surface_scout_v0,wave_us100_closedbar_surface_cartography_v0,campaign_us100_task_surface_scout_v0,idea_us100_m5_blank_slate_surface_map_v0,hyp_surface_diversity_before_model_search_v0,surface_us100_task_input_decision_rotation_v0,sweep_wave0_broad_surface_scout_v0,executed_proxy_scout,2026-06-21T15:54:35Z,model_training,spacesonar-model-validation,lab/runs/onnxlab_wave0_cell_007_surface_scout_v0/run_manifest.json,lab/runs/onnxlab_wave0_cell_007_surface_scout_v0/experiment_receipt.yaml,lab/runs/onnxlab_wave0_cell_007_surface_scout_v0/artifact_lineage.json,lab/runs/onnxlab_wave0_cell_007_surface_scout_v0/metrics.json,first_batch_proxy_scout_l4_required_no_candidate_no_baseline_no_runtime_authority,inconclusive,branch_worktree_fit|split_boundary_check|selection_bias_check|run_manifest|experiment_receipt|storage_contract_check|runtime_learning_probe_decision|final_claim_guard|not_applicable:locked_final_oos_access|missing:onnx_export_or_runtime_materialization_required|missing:L4_split_runtime_probe_for_valid_proxy_run,lab/campaigns/campaign_us100_task_surface_scout_v0/sweeps/sweep_wave0_broad_surface_scout_v0/axis_review_wave0_first_batch_v0.yaml,work_wave0_first_batch_l4_follow_through_v0,proxy_to_l4_policy_clarified_all_valid_proxy_runs_require_l4
